value,size
1982,11
1984,48
1986,21
1987,20
1988,11
1989,56
1990,14
1991,61
1992,19
1993,57
1994,28
1995,6
1996,7
1997,14
1998,50
1999,89
2000,7
2001,9
2003,15
2004,12
2005,26
2006,28
2007,85
2008,41
2009,77
2010,11
2011,40
2012,151
2013,48
2014,46
2015,89
2016,154
2017,704
2018,70
